,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
94,032cf705-54cc-418a-9da0-cf3a360c894b,10,16,178597765,CLIENT1,Conv2d,10896566,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
95,032cf705-54cc-418a-9da0-cf3a360c894b,11,16,178597765,CLIENT1,ReLU,146146,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
96,032cf705-54cc-418a-9da0-cf3a360c894b,12,16,178597765,CLIENT1,MaxPool2d,487789,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
97,032cf705-54cc-418a-9da0-cf3a360c894b,13,16,178597765,CLIENT1,AdaptiveAvgPool2d,127665,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
98,032cf705-54cc-418a-9da0-cf3a360c894b,14,16,178597765,CLIENT1,Dropout,45389,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
99,032cf705-54cc-418a-9da0-cf3a360c894b,15,16,178597765,CLIENT1,Linear,90766361,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
100,032cf705-54cc-418a-9da0-cf3a360c894b,16,16,178597765,EDGE1,ReLU,63284,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
101,032cf705-54cc-418a-9da0-cf3a360c894b,17,16,178597765,EDGE1,Dropout,37003,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
102,032cf705-54cc-418a-9da0-cf3a360c894b,18,16,178597765,EDGE1,Linear,3904216,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
103,032cf705-54cc-418a-9da0-cf3a360c894b,19,16,178597765,EDGE1,ReLU,49414,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
104,032cf705-54cc-418a-9da0-cf3a360c894b,20,16,178597765,EDGE1,Linear,1040792,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
105,03565a4e-10bb-464e-8e8b-ed669670c03a,0,3,64712199,CLIENT1,Conv2d,16372127,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
106,03565a4e-10bb-464e-8e8b-ed669670c03a,1,3,64712199,CLIENT1,ReLU,2287205,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
107,03565a4e-10bb-464e-8e8b-ed669670c03a,2,3,64712199,CLIENT1,MaxPool2d,3738515,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
108,03565a4e-10bb-464e-8e8b-ed669670c03a,3,3,64712199,EDGE1,Conv2d,8769794,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
109,03565a4e-10bb-464e-8e8b-ed669670c03a,4,3,64712199,EDGE1,ReLU,84133,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
110,03565a4e-10bb-464e-8e8b-ed669670c03a,5,3,64712199,EDGE1,MaxPool2d,1132695,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
111,03565a4e-10bb-464e-8e8b-ed669670c03a,6,3,64712199,EDGE1,Conv2d,5240562,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
112,03565a4e-10bb-464e-8e8b-ed669670c03a,7,3,64712199,EDGE1,ReLU,69765,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
113,03565a4e-10bb-464e-8e8b-ed669670c03a,8,3,64712199,EDGE1,Conv2d,6892321,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
114,03565a4e-10bb-464e-8e8b-ed669670c03a,9,3,64712199,EDGE1,ReLU,80661,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
115,03565a4e-10bb-464e-8e8b-ed669670c03a,10,3,64712199,EDGE1,Conv2d,4719543,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
116,03565a4e-10bb-464e-8e8b-ed669670c03a,11,3,64712199,EDGE1,ReLU,62733,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
